Year,States,Malignant Neoplasm of,Number of Deaths
2015,Victoria,Anus and Anal Canal,32
2015,Victoria,Liver and Intrahepatic Bile Ducts,418
2015,Victoria,Gallbladder,36
2015,Victoria,Other and Unspecified Parts of Biliary Tract,33
2015,Victoria,Pancreas,709
2015,Victoria,Other Digestive Organs,320
2016,Victoria,Oesophagus,307
2016,Victoria,Stomach,325
2016,Victoria,Small Intestine,27
2016,Victoria,Colon,407
2016,Victoria,Rectosigmoid Junction,580
2016,Victoria,Rectum,179
2016,Victoria,Anus and Anal Canal,14
2016,Victoria,Liver and Intrahepatic Bile Ducts,454
2016,Victoria,Gallbladder,39
2016,Victoria,Other and Unspecified Parts of Biliary Tract,33
2016,Victoria,Pancreas,780
2016,Victoria,Other Digestive Organs,272
2017,Victoria,Oesophagus,307
2017,Victoria,Stomach,355
2017,Victoria,Small Intestine,40
2017,Victoria,Colon,372
2017,Victoria,Rectosigmoid Junction,528
2017,Victoria,Rectum,190
2017,Victoria,Anus and Anal Canal,25
2017,Victoria,Liver and Intrahepatic Bile Ducts,454
2017,Victoria,Gallbladder,48
2017,Victoria,Other and Unspecified Parts of Biliary Tract,30
2017,Victoria,Pancreas,799
2017,Victoria,Other Digestive Organs,294
2018,Victoria,Oesophagus,337
2018,Victoria,Stomach,313
2018,Victoria,Small Intestine,33
2018,Victoria,Colon,388
2018,Victoria,Rectosigmoid Junction,490
2018,Victoria,Rectum,193
2018,Victoria,Anus and Anal Canal,24
2018,Victoria,Liver and Intrahepatic Bile Ducts,529
2018,Victoria,Gallbladder,45
2018,Victoria,Other and Unspecified Parts of Biliary Tract,24
2018,Victoria,Pancreas,774
2018,Victoria,Other Digestive Organs,284
2019,Victoria,Oesophagus,337
2019,Victoria,Stomach,348
2019,Victoria,Small Intestine,34
2019,Victoria,Colon,352
2019,Victoria,Rectosigmoid Junction,502
2019,Victoria,Rectum,170
2019,Victoria,Anus and Anal Canal,24
2019,Victoria,Liver and Intrahepatic Bile Ducts,550
2019,Victoria,Gallbladder,51
2019,Victoria,Other and Unspecified Parts of Biliary Tract,20
2019,Victoria,Pancreas,796
2019,Victoria,Other Digestive Organs,297
2020,Victoria,Oesophagus,353
2020,Victoria,Stomach,360
2020,Victoria,Small Intestine,39
2020,Victoria,Colon,390
2020,Victoria,Rectosigmoid Junction,537
2020,Victoria,Rectum,181
2020,Victoria,Anus and Anal Canal,26
2020,Victoria,Liver and Intrahepatic Bile Ducts,530
2020,Victoria,Gallbladder,50
2020,Victoria,Other and Unspecified Parts of Biliary Tract,37
2020,Victoria,Pancreas,811
2020,Victoria,Other Digestive Organs,337
2021,Victoria,Oesophagus,358
2021,Victoria,Stomach,347
2021,Victoria,Small Intestine,39
2021,Victoria,Colon,394
2021,Victoria,Rectosigmoid Junction,532
2021,Victoria,Rectum,196
2021,Victoria,Anus and Anal Canal,30
2021,Victoria,Liver and Intrahepatic Bile Ducts,576
2021,Victoria,Gallbladder,57
2021,Victoria,Other and Unspecified Parts of Biliary Tract,41
2021,Victoria,Pancreas,871
2021,Victoria,Other Digestive Organs,303
2022,Victoria,Oesophagus,351
2022,Victoria,Stomach,300
2022,Victoria,Small Intestine,37
2022,Victoria,Colon,361
2022,Victoria,Rectosigmoid Junction,531
2022,Victoria,Rectum,142
2022,Victoria,Anus and Anal Canal,25
2022,Victoria,Liver and Intrahepatic Bile Ducts,546
2022,Victoria,Gallbladder,56
2022,Victoria,Other and Unspecified Parts of Biliary Tract,32
2022,Victoria,Pancreas,859
2022,Victoria,Other Digestive Organs,286
2012,Queensland,Oesophagus,233
2012,Queensland,Stomach,208
2012,Queensland,Small Intestine,29
2012,Queensland,Colon,368
2012,Queensland,Rectosigmoid Junction,302
2012,Queensland,Rectum,117
2012,Queensland,Anus and Anal Canal,11
2012,Queensland,Liver and Intrahepatic Bile Ducts,256
2012,Queensland,Gallbladder,26
2012,Queensland,Other and Unspecified Parts of Biliary Tract,17
2012,Queensland,Pancreas,451
2012,Queensland,Other Digestive Organs,223
2013,Queensland,Oesophagus,251
2013,Queensland,Stomach,185
2013,Queensland,Small Intestine,27
2013,Queensland,Colon,374
2013,Queensland,Rectosigmoid Junction,384
2013,Queensland,Rectum,100
2013,Queensland,Anus and Anal Canal,17
2013,Queensland,Liver and Intrahepatic Bile Ducts,314
2013,Queensland,Gallbladder,25
2013,Queensland,Other and Unspecified Parts of Biliary Tract,11
2013,Queensland,Pancreas,434
2013,Queensland,Other Digestive Organs,182
2014,Queensland,Oesophagus,230
2014,Queensland,Stomach,220
2014,Queensland,Small Intestine,20
2014,Queensland,Colon,334
2014,Queensland,Rectosigmoid Junction,379
2014,Queensland,Rectum,122
2014,Queensland,Anus and Anal Canal,27
2014,Queensland,Liver and Intrahepatic Bile Ducts,328
2014,Queensland,Gallbladder,31
2014,Queensland,Other and Unspecified Parts of Biliary Tract,16
2014,Queensland,Pancreas,431
2014,Queensland,Other Digestive Organs,203
2015,Queensland,Oesophagus,242
2015,Queensland,Stomach,184
2015,Queensland,Small Intestine,23
2015,Queensland,Colon,286
2015,Queensland,Rectosigmoid Junction,460
2015,Queensland,Rectum,114
2015,Queensland,Anus and Anal Canal,13
2015,Queensland,Liver and Intrahepatic Bile Ducts,318
2015,Queensland,Gallbladder,31
2015,Queensland,Other and Unspecified Parts of Biliary Tract,20
2015,Queensland,Pancreas,491
2015,Queensland,Other Digestive Organs,242
2016,Queensland,Oesophagus,271
2016,Queensland,Stomach,191
2016,Queensland,Small Intestine,22
2016,Queensland,Colon,349
2016,Queensland,Rectosigmoid Junction,450
2016,Queensland,Rectum,119
2016,Queensland,Anus and Anal Canal,30
2016,Queensland,Liver and Intrahepatic Bile Ducts,364
2016,Queensland,Gallbladder,33
2016,Queensland,Other and Unspecified Parts of Biliary Tract,26
2016,Queensland,Pancreas,547
2016,Queensland,Other Digestive Organs,199
2017,Queensland,Oesophagus,258
2017,Queensland,Stomach,220
2017,Queensland,Small Intestine,25
2017,Queensland,Colon,322
2017,Queensland,Rectosigmoid Junction,490
2017,Queensland,Rectum,126
2017,Queensland,Anus and Anal Canal,26
2017,Queensland,Liver and Intrahepatic Bile Ducts,389
2017,Queensland,Gallbladder,36
2017,Queensland,Other and Unspecified Parts of Biliary Tract,28
2017,Queensland,Pancreas,567
2017,Queensland,Other Digestive Organs,211
2018,Queensland,Oesophagus,272
2018,Queensland,Stomach,194
2018,Queensland,Small Intestine,32
2018,Queensland,Colon,260
2018,Queensland,Rectosigmoid Junction,497
2018,Queensland,Rectum,135
2018,Queensland,Anus and Anal Canal,18
2018,Queensland,Liver and Intrahepatic Bile Ducts,428
2018,Queensland,Gallbladder,21
2018,Queensland,Other and Unspecified Parts of Biliary Tract,19
2018,Queensland,Pancreas,580
2018,Queensland,Other Digestive Organs,220
2019,Queensland,Oesophagus,242
2019,Queensland,Stomach,188
2019,Queensland,Small Intestine,34
2019,Queensland,Colon,313
2019,Queensland,Rectosigmoid Junction,467
2019,Queensland,Rectum,122
2019,Queensland,Anus and Anal Canal,13
2019,Queensland,Liver and Intrahepatic Bile Ducts,397
2019,Queensland,Gallbladder,41
2019,Queensland,Other and Unspecified Parts of Biliary Tract,21
2019,Queensland,Pancreas,571
2019,Queensland,Other Digestive Organs,214
2020,Queensland,Oesophagus,245
2020,Queensland,Stomach,214
2020,Queensland,Small Intestine,26
2020,Queensland,Colon,281
2020,Queensland,Rectosigmoid Junction,497
2020,Queensland,Rectum,138
2020,Queensland,Anus and Anal Canal,36
2020,Queensland,Liver and Intrahepatic Bile Ducts,415
2020,Queensland,Gallbladder,30
2020,Queensland,Other and Unspecified Parts of Biliary Tract,24
2020,Queensland,Pancreas,645
2020,Queensland,Other Digestive Organs,248
2021,Queensland,Oesophagus,273
2021,Queensland,Stomach,217
2021,Queensland,Small Intestine,29
2021,Queensland,Colon,286
2021,Queensland,Rectosigmoid Junction,548
2021,Queensland,Rectum,112
2021,Queensland,Anus and Anal Canal,24
2021,Queensland,Liver and Intrahepatic Bile Ducts,461
2021,Queensland,Gallbladder,36
2021,Queensland,Other and Unspecified Parts of Biliary Tract,29
2021,Queensland,Pancreas,644
2021,Queensland,Other Digestive Organs,223
2022,Queensland,Oesophagus,263
2022,Queensland,Stomach,202
2022,Queensland,Small Intestine,37
2022,Queensland,Colon,283
2022,Queensland,Rectosigmoid Junction,433
2022,Queensland,Rectum,117
2022,Queensland,Anus and Anal Canal,22
2022,Queensland,Liver and Intrahepatic Bile Ducts,438
2022,Queensland,Gallbladder,33
2022,Queensland,Other and Unspecified Parts of Biliary Tract,16
2022,Queensland,Pancreas,676
2022,Queensland,Other Digestive Organs,211
2012,South Australia,Oesophagus,99
2012,South Australia,Stomach,96
2012,South Australia,Small Intestine,16
2012,South Australia,Colon,182
2012,South Australia,Rectosigmoid Junction,110
2012,South Australia,Rectum,71
2012,South Australia,Anus and Anal Canal,1
2012,South Australia,Liver and Intrahepatic Bile Ducts,121
2012,South Australia,Gallbladder,19
2012,South Australia,Other and Unspecified Parts of Biliary Tract,9
2012,South Australia,Pancreas,200
2012,South Australia,Other Digestive Organs,110
2013,South Australia,Oesophagus,93
2013,South Australia,Stomach,101
2013,South Australia,Small Intestine,1
2013,South Australia,Colon,174
2013,South Australia,Rectosigmoid Junction,111
2013,South Australia,Rectum,58
2013,South Australia,Anus and Anal Canal,5
2013,South Australia,Liver and Intrahepatic Bile Ducts,134
2013,South Australia,Gallbladder,20
2013,South Australia,Other and Unspecified Parts of Biliary Tract,6
2013,South Australia,Pancreas,222
2013,South Australia,Other Digestive Organs,114
2014,South Australia,Oesophagus,92
2014,South Australia,Stomach,103
2014,South Australia,Small Intestine,9
2014,South Australia,Colon,150
2014,South Australia,Rectosigmoid Junction,140
2014,South Australia,Rectum,59
2014,South Australia,Anus and Anal Canal,8
2014,South Australia,Liver and Intrahepatic Bile Ducts,121
2014,South Australia,Gallbladder,18
2014,South Australia,Other and Unspecified Parts of Biliary Tract,4
2014,South Australia,Pancreas,232
2014,South Australia,Other Digestive Organs,96
2015,South Australia,Oesophagus,116
2015,South Australia,Stomach,99
2015,South Australia,Small Intestine,7
2015,South Australia,Colon,169
2015,South Australia,Rectosigmoid Junction,142
2015,South Australia,Rectum,66
2015,South Australia,Anus and Anal Canal,6
2015,South Australia,Liver and Intrahepatic Bile Ducts,162
2015,South Australia,Gallbladder,21
2015,South Australia,Other and Unspecified Parts of Biliary Tract,9
2015,South Australia,Pancreas,255
2015,South Australia,Other Digestive Organs,99
2016,South Australia,Oesophagus,119
2016,South Australia,Stomach,87
2016,South Australia,Small Intestine,12
2016,South Australia,Colon,148
2016,South Australia,Rectosigmoid Junction,141
2016,South Australia,Rectum,61
2016,South Australia,Anus and Anal Canal,5
2016,South Australia,Liver and Intrahepatic Bile Ducts,140
2016,South Australia,Gallbladder,18
2016,South Australia,Other and Unspecified Parts of Biliary Tract,7
2016,South Australia,Pancreas,225
2016,South Australia,Other Digestive Organs,93
2017,South Australia,Oesophagus,102
2017,South Australia,Stomach,88
2017,South Australia,Small Intestine,7
2017,South Australia,Colon,120
2017,South Australia,Rectosigmoid Junction,172
2017,South Australia,Rectum,43
2017,South Australia,Anus and Anal Canal,6
2017,South Australia,Liver and Intrahepatic Bile Ducts,152
2017,South Australia,Gallbladder,18
2017,South Australia,Other and Unspecified Parts of Biliary Tract,14
2017,South Australia,Pancreas,248
2017,South Australia,Other Digestive Organs,91
2018,South Australia,Oesophagus,109
2018,South Australia,Stomach,96
2018,South Australia,Small Intestine,8
2018,South Australia,Colon,144
2018,South Australia,Rectosigmoid Junction,172
2018,South Australia,Rectum,70
2018,South Australia,Anus and Anal Canal,7
2018,South Australia,Liver and Intrahepatic Bile Ducts,146
2018,South Australia,Gallbladder,27
2018,South Australia,Other and Unspecified Parts of Biliary Tract,14
2018,South Australia,Pancreas,241
2018,South Australia,Other Digestive Organs,106
2019,South Australia,Oesophagus,128
2019,South Australia,Stomach,106
2019,South Australia,Small Intestine,13
2019,South Australia,Colon,134
2019,South Australia,Rectosigmoid Junction,148
2019,South Australia,Rectum,53
2019,South Australia,Anus and Anal Canal,16
2019,South Australia,Liver and Intrahepatic Bile Ducts,141
2019,South Australia,Gallbladder,20
2019,South Australia,Other and Unspecified Parts of Biliary Tract,8
2019,South Australia,Pancreas,287
2019,South Australia,Other Digestive Organs,92
2020,South Australia,Oesophagus,114
2020,South Australia,Stomach,98
2020,South Australia,Small Intestine,16
2020,South Australia,Colon,121
2020,South Australia,Rectosigmoid Junction,151
2020,South Australia,Rectum,61
2020,South Australia,Anus and Anal Canal,16
2020,South Australia,Liver and Intrahepatic Bile Ducts,176
2020,South Australia,Gallbladder,19
2020,South Australia,Other and Unspecified Parts of Biliary Tract,14
2020,South Australia,Pancreas,292
2020,South Australia,Other Digestive Organs,115
2021,South Australia,Oesophagus,104
2021,South Australia,Stomach,83
2021,South Australia,Small Intestine,16
2021,South Australia,Colon,138
2021,South Australia,Rectosigmoid Junction,159
2021,South Australia,Rectum,51
2021,South Australia,Anus and Anal Canal,13
2021,South Australia,Liver and Intrahepatic Bile Ducts,177
2021,South Australia,Gallbladder,19
2021,South Australia,Other and Unspecified Parts of Biliary Tract,14
2021,South Australia,Pancreas,301
2021,South Australia,Other Digestive Organs,91
2022,South Australia,Oesophagus,114
2022,South Australia,Stomach,101
2022,South Australia,Small Intestine,9
2022,South Australia,Colon,116
2022,South Australia,Rectosigmoid Junction,114
2022,South Australia,Rectum,52
2022,South Australia,Anus and Anal Canal,15
2022,South Australia,Liver and Intrahepatic Bile Ducts,170
2022,South Australia,Gallbladder,24
2022,South Australia,Other and Unspecified Parts of Biliary Tract,18
2022,South Australia,Pancreas,294
2022,South Australia,Other Digestive Organs,83
2012,Western Australia,Oesophagus,111
2012,Western Australia,Stomach,117
2012,Western Australia,Small Intestine,14
2012,Western Australia,Colon,208
2012,Western Australia,Rectosigmoid Junction,51
2012,Western Australia,Rectum,55
2012,Western Australia,Anus and Anal Canal,9
2012,Western Australia,Liver and Intrahepatic Bile Ducts,134
2012,Western Australia,Gallbladder,12
2012,Western Australia,Other and Unspecified Parts of Biliary Tract,5
2012,Western Australia,Pancreas,247
2012,Western Australia,Other Digestive Organs,114
2013,Western Australia,Oesophagus,110
2013,Western Australia,Stomach,121
2013,Western Australia,Small Intestine,8
2013,Western Australia,Colon,207
2013,Western Australia,Rectosigmoid Junction,87
2013,Western Australia,Rectum,54
2013,Western Australia,Anus and Anal Canal,7
2013,Western Australia,Liver and Intrahepatic Bile Ducts,151
2013,Western Australia,Gallbladder,11
2013,Western Australia,Other and Unspecified Parts of Biliary Tract,6
2013,Western Australia,Pancreas,231
2013,Western Australia,Other Digestive Organs,111
2014,Western Australia,Oesophagus,96
2014,Western Australia,Stomach,93
2014,Western Australia,Small Intestine,9
2014,Western Australia,Colon,191
2014,Western Australia,Rectosigmoid Junction,85
2014,Western Australia,Rectum,69
2014,Western Australia,Anus and Anal Canal,9
2014,Western Australia,Liver and Intrahepatic Bile Ducts,170
2014,Western Australia,Gallbladder,8
2014,Western Australia,Other and Unspecified Parts of Biliary Tract,7
2014,Western Australia,Pancreas,223
2014,Western Australia,Other Digestive Organs,97
2015,Western Australia,Oesophagus,124
2015,Western Australia,Stomach,113
2015,Western Australia,Small Intestine,8
2015,Western Australia,Colon,195
2015,Western Australia,Rectosigmoid Junction,85
2015,Western Australia,Rectum,69
2015,Western Australia,Anus and Anal Canal,8
2015,Western Australia,Liver and Intrahepatic Bile Ducts,172
2015,Western Australia,Gallbladder,8
2015,Western Australia,Other and Unspecified Parts of Biliary Tract,13
2015,Western Australia,Pancreas,244
2015,Western Australia,Other Digestive Organs,90
2016,Western Australia,Oesophagus,122
2016,Western Australia,Stomach,107
2016,Western Australia,Small Intestine,15
2016,Western Australia,Colon,169
